Range_R,Tested_w,Discard_Percentage,Predicted_Time_Sec,Actual_Time_Sec,Is_Predicted_Optimal,Is_Actual_Optimal,Accurate?,
2456011,10,32.32,0.004025,0.010513,0,0,FALSE,
2456011,11,1.55,0.003206,0.008832,1,0,FALSE,
2456011,12,0.02,0.003619,0.009878,0,0,FALSE,
2456011,13,0.02,0.004111,0.009512,0,0,FALSE,
2456011,14,0,0.004633,0.012142,0,0,FALSE,
2456011,15,0,0.005186,0.008494,0,1,FALSE,
3200245,10,11.81,0.003089,0.009282,1,0,FALSE,
3200245,11,3.79,0.003281,0.007999,0,0,FALSE,
3200245,12,0.45,0.003635,0.009079,0,0,FALSE,
3200245,13,0.04,0.004112,0.01105,0,0,FALSE,
3200245,14,0,0.004633,0.007993,0,0,FALSE,
3200245,15,0,0.005186,0.005825,0,1,FALSE,
3371682,10,7.09,0.002932,0.008752,1,0,FALSE,
3371682,11,7.09,0.003397,0.012059,0,0,FALSE,
3371682,12,0.05,0.00362,0.009199,0,0,FALSE,
3371682,13,0.05,0.004112,0.007422,0,0,FALSE,
3371682,14,0,0.004633,0.00503,0,1,FALSE,
3371682,15,0,0.005186,0.012762,0,0,FALSE,
3628799,10,0,0.002725,0.007509,1,1,TRUE,
3628799,11,0,0.003156,0.00978,0,0,FALSE,
3628799,12,0,0.003618,0.007676,0,0,FALSE,
3628799,13,0,0.00411,0.010596,0,0,FALSE,
3628799,14,0,0.004633,0.010827,0,0,FALSE,
3628799,15,0,0.005186,0.011189,0,0,FALSE,
3730077,11,6.55,0.003378,0.009043,1,0,FALSE,
3730077,12,0.32,0.00363,0.009466,0,0,FALSE,
3730077,13,0.02,0.004111,0.010298,0,0,FALSE,
3730077,14,0,0.004633,0.010828,0,0,FALSE,
3730077,15,0,0.005186,0.008653,0,0,FALSE,
3730077,16,0,0.005769,0.007883,0,1,FALSE,
3910172,11,2.04,0.003222,0.009365,1,0,FALSE,
3910172,12,0.41,0.003633,0.004065,0,1,FALSE,
3910172,13,0.03,0.004112,0.008598,0,0,FALSE,
3910172,14,0,0.004633,0.011279,0,0,FALSE,
3910172,15,0,0.005186,0.013025,0,0,FALSE,
3910172,16,0,0.005769,0.013705,0,0,FALSE,
4458752,11,10.64,0.003532,0.010096,1,0,FALSE,
4458752,12,0.4,0.003633,0.009897,0,1,FALSE,
4458752,13,0.04,0.004112,0.010521,0,0,FALSE,
4458752,14,0,0.004633,0.012372,0,0,FALSE,
4458752,15,0,0.005186,0.012381,0,0,FALSE,
4458752,16,0,0.005769,0.01361,0,0,FALSE,
4848449,11,2.83,0.003248,0.008079,1,0,FALSE,
4848449,12,0.8,0.003647,0.010625,0,0,FALSE,
4848449,13,0.03,0.004111,0.01079,0,0,FALSE,
4848449,14,0,0.004633,0.01117,0,0,FALSE,
4848449,15,0,0.005186,0.007409,0,1,FALSE,
4848449,16,0,0.005769,0.013007,0,0,FALSE,
9979201,11,25,0.004208,0.007063,0,1,FALSE,
9979201,12,2.08,0.003695,0.009591,1,0,FALSE,
9979201,13,0.16,0.004117,0.012432,0,0,FALSE,
9979201,14,0.01,0.004633,0.012721,0,0,FALSE,
9979201,15,0,0.005186,0.011397,0,0,FALSE,
9979201,16,0,0.005769,0.013149,0,0,FALSE,
13305601,11,33.33,0.004734,0.011877,0,0,FALSE,
13305601,12,2.78,0.003721,0.006396,1,0,FALSE,
13305601,13,0.21,0.004119,0.004197,0,1,FALSE,
13305601,14,0.02,0.004634,0.01068,0,0,FALSE,
13305601,15,0,0.005186,0.011088,0,0,FALSE,
13305601,16,0,0.005769,0.013301,0,0,FALSE,
16777216,11,15.94,0.003755,0.011491,0,0,FALSE,
16777216,12,1.93,0.003689,0.008626,1,0,FALSE,
16777216,13,0.04,0.004112,0.009699,0,0,FALSE,
16777216,14,0,0.004633,0.009899,0,0,FALSE,
16777216,15,0,0.005186,0.006595,0,1,FALSE,
16777216,16,0,0.005769,0.012779,0,0,FALSE,
19958401,11,50,0.006312,0.014624,0,0,FALSE,
19958401,12,4.17,0.003775,0.009837,1,0,FALSE,
19958401,13,0.32,0.004124,0.011854,0,0,FALSE,
19958401,14,0.02,0.004634,0.012558,0,0,FALSE,
19958401,15,0,0.005186,0.010156,0,0,FALSE,
19958401,16,0,0.005769,0.008818,0,1,FALSE,
39916799,11,0,0.003156,0.009521,1,0,FALSE,
39916799,12,0,0.003618,0.009069,0,1,FALSE,
39916799,13,0,0.00411,0.00945,0,0,FALSE,
39916799,14,0,0.004633,0.012456,0,0,FALSE,
39916799,15,0,0.005186,0.01309,0,0,FALSE,
39916799,16,0,0.005769,0.013478,0,0,FALSE,
119750401,12,25,0.004824,0.012784,0,0,FALSE,
119750401,13,1.92,0.004191,0.010968,1,0,FALSE,
119750401,14,0.14,0.004639,0.006378,0,1,FALSE,
119750401,15,0.01,0.005186,0.007434,0,0,FALSE,
119750401,16,0,0.005769,0.007477,0,0,FALSE,
119750401,17,0,0.006382,0.011779,0,0,FALSE,
159667201,12,33.33,0.005427,0.014164,0,0,FALSE,
159667201,13,2.56,0.004219,0.01101,1,0,FALSE,
159667201,14,0.18,0.004641,0.012031,0,0,FALSE,
159667201,15,0.01,0.005186,0.007088,0,1,FALSE,
159667201,16,0,0.005769,0.014071,0,0,FALSE,
159667201,17,0,0.006382,0.014416,0,0,FALSE,
239500801,12,50,0.007236,0.012479,0,0,FALSE,
239500801,13,3.85,0.004275,0.010928,1,0,FALSE,
239500801,14,0.27,0.004646,0.01077,0,0,FALSE,
